Ref,Val,Package,PosX,PosY,Rot,Side
"D1","D_Zener","D_SOD-123_Zener",107.516667,-70.750000,90.000000,top
"D2","D_Zener","D_SOD-123_Zener",114.033334,-70.750000,90.000000,top
"D3","D_Zener","D_SOD-123_Zener",120.550000,-70.750000,90.000000,top
"D4","D_Zener","D_SOD-123_Zener",127.066667,-70.750000,90.000000,top
"D5","D_Zener","D_SOD-123_Zener",133.583334,-70.750000,90.000000,top
"D6","D_Zener","D_SOD-123_Zener",140.100000,-70.750000,90.000000,top
"D7","D_Zener","D_SOD-123_Zener",146.616667,-70.750000,90.000000,top
"D8","D_Zener","D_SOD-123_Zener",153.133334,-70.750000,90.000000,top
"D9","D_Zener","D_SOD-123_Zener",159.650000,-70.750000,90.000000,top
"D10","D_Zener","D_SOD-123_Zener",166.166667,-70.750000,90.000000,top
"D11","D_Zener","D_SOD-123_Zener",172.683334,-70.750000,90.000000,top
"D12","D_Zener","D_SOD-123_Zener",179.200000,-70.750000,90.000000,top
"D13","D_Zener","D_SOD-123_Zener",185.716667,-70.750000,90.000000,top
"D14","D_Zener","D_SOD-123_Zener",192.233334,-70.750000,90.000000,top
"D15","D_Zener","D_SOD-123_Zener",198.750000,-70.750000,90.000000,top
"D16","D_Zener","D_SOD-123_Zener",205.266667,-70.750000,90.000000,top
"R1","1k","R_0805_2012Metric",110.806337,-68.750000,90.000000,top
"R2","1k","R_0805_2012Metric",117.319248,-68.750000,90.000000,top
"R3","1k","R_0805_2012Metric",123.750000,-68.750000,90.000000,top
"R4","1k","R_0805_2012Metric",130.345070,-68.750000,90.000000,top
"R5","1k","R_0805_2012Metric",136.857980,-68.750000,90.000000,top
"R6","1k","R_0805_2012Metric",143.370891,-68.750000,90.000000,top
"R7","1k","R_0805_2012Metric",149.883802,-68.750000,90.000000,top
"R8","1k","R_0805_2012Metric",156.396713,-68.750000,90.000000,top
"R9","1k","R_0805_2012Metric",162.909624,-68.750000,90.000000,top
"R10","1k","R_0805_2012Metric",169.422535,-68.750000,90.000000,top
"R11","1k","R_0805_2012Metric",175.935446,-68.750000,90.000000,top
"R12","1k","R_0805_2012Metric",182.448357,-68.750000,90.000000,top
"R13","1k","R_0805_2012Metric",188.961267,-68.750000,90.000000,top
"R14","1k","R_0805_2012Metric",195.474178,-68.750000,90.000000,top
"R15","1k","R_0805_2012Metric",201.987089,-68.750000,90.000000,top
"R16","1k","R_0805_2012Metric",208.500000,-68.750000,90.000000,top
"R17","1M","R_0805_2012Metric",115.500000,-77.500000,90.000000,top
"R18","1M","R_0805_2012Metric",121.750000,-77.500000,90.000000,top
"R19","1M","R_0805_2012Metric",128.000000,-77.500000,90.000000,top
"R20","1M","R_0805_2012Metric",134.250000,-77.500000,90.000000,top
"R21","1M","R_0805_2012Metric",140.500000,-77.500000,90.000000,top
"R22","1M","R_0805_2012Metric",146.750000,-77.500000,90.000000,top
"R23","1M","R_0805_2012Metric",153.000000,-77.500000,90.000000,top
"R24","1M","R_0805_2012Metric",159.250000,-77.500000,90.000000,top
"R25","1M","R_0805_2012Metric",165.500000,-77.500000,90.000000,top
"R26","1M","R_0805_2012Metric",171.750000,-77.500000,90.000000,top
"R27","1M","R_0805_2012Metric",178.000000,-77.500000,90.000000,top
"R28","1M","R_0805_2012Metric",184.250000,-77.500000,90.000000,top
"R29","1M","R_0805_2012Metric",190.500000,-77.500000,90.000000,top
"R30","1M","R_0805_2012Metric",196.750000,-77.500000,90.000000,top
"R31","1M","R_0805_2012Metric",203.000000,-77.500000,90.000000,top
"R32","1M","R_0805_2012Metric",209.250000,-77.500000,90.000000,top
